,EFF_C,EFF_C_afterwashing,MF_C,MF_C_afterwashing,EFF_ALL,EFF_ALL_afterwashing
1,0.9006600250585949,0.9070600250585948,737.3754196726189,737.3882196726189,0.3667376190979478,0.3731376190979478
2,0.901883068882905,0.9083630688829051,742.4110692578404,742.4240292578404,0.3644388191058761,0.3709188191058761
3,0.9012105942289133,0.9077705942289133,751.019412611248,751.0325326112479,0.3642928959766657,0.3708528959766657
4,0.9006481032987699,0.9072881032987699,758.0015663529035,758.0148463529035,0.36519860667291126,0.37183860667291124
5,0.9026728303082718,0.9093928303082718,765.3700936733618,765.3835336733617,0.3662678682306367,0.3729878682306367
6,0.9029985757360658,0.9097985757360658,766.4686750874164,766.4822750874164,0.36626243478259063,0.3730624347825906
7,0.9037931067716299,0.9106731067716299,769.574018721399,769.5877787213991,0.3707452168687446,0.3776252168687446
8,0.9030851002055355,0.9100451002055354,778.4440387676315,778.4579587676315,0.37148989781046005,0.37844989781046007
9,0.9032436333049892,0.9102836333049893,778.9848977950139,778.998977795014,0.372007977725142,0.379047977725142
10,0.9015392438848155,0.9086592438848156,780.9414826977014,780.9557226977014,0.37054073218317946,0.37766073218317947
11,0.9022419291609961,0.9094419291609961,780.3461447909648,780.3605447909648,0.37195422644097303,0.379154226440973
12,0.8971791762524058,0.9044591762524058,788.8114331467624,788.8259931467624,0.3699357701277635,0.37721577012776353
13,0.898270438328144,0.905630438328144,786.9568806432608,786.9716006432608,0.36691943495230356,0.37427943495230354
14,0.8971183496056049,0.9045583496056049,776.2470502393055,776.2619302393055,0.37054319122559254,0.37798319122559254
15,0.8980470852097496,0.9055670852097496,764.6835555668396,764.6985955668396,0.3687936938940747,0.3763136938940747
16,0.9002889138840289,0.9078889138840289,751.3652340411115,751.3804340411116,0.36972627949945325,0.37732627949945324
17,0.8984286007936048,0.9061086007936048,745.236309542012,745.251669542012,0.36485687785030946,0.3725368778503095
18,0.9009121203081464,0.9086721203081464,738.7797159201928,738.7952359201928,0.36720056341827517,0.37496056341827516
19,0.8994914268747015,0.9073314268747015,730.8567608893547,730.8724408893547,0.3674361727632959,0.3752761727632959
20,0.9042500326179121,0.9121700326179122,708.7161823514203,708.7320223514204,0.3672384152849839,0.3751584152849839
21,0.9063503906266095,0.9143503906266095,709.9887523659869,710.0047523659869,0.3653439508716371,0.37334395087163713
22,0.9071660840987906,0.9152460840987906,717.1255041824885,717.1416641824885,0.3642466590310343,0.3723266590310343
