,EFF_GT_dp,EFF_GT_dp0,W_GT_dp,W_GT_dp0
1,0.36140915230180853,0.36140761476663685,248269489.09664685,248268432.88910726
2,0.3600435144573999,0.3600419838413928,246779927.82435998,246778878.71420357
3,0.36109945648003466,0.3610979095920999,248631372.77417377,248630307.6801565
4,0.3628735688413746,0.3628720274435668,251130233.2927961,251129166.55323637
5,0.36484410472163575,0.3648425484180156,254302745.5982007,254301660.82725757
6,0.365578944906497,0.3655773857941796,253422439.99372673,253421359.20378187
7,0.3708443406478123,0.3708427766118865,259768920.7344272,259767825.1590607
8,0.37218636452708626,0.37218485879039914,262558650.525293,262557588.30423847
9,0.3729600510319289,0.3729585133756072,263426699.45294946,263425613.38561168
10,0.3720621616640423,0.3720606054230866,262409229.27383813,262408131.6830809
11,0.37351689670455984,0.37351535160070376,263862534.15740505,263861442.65385434
12,0.3719525906277041,0.37195102807112473,263978041.34972534,263976932.38950917
13,0.3687223945822615,0.36872082349634755,260152412.6627628,260151304.18170217
14,0.3712805324048972,0.3712789836863416,262327828.26318917,262326734.0178953
15,0.3684198277070536,0.3684183031920147,257620257.8815082,257619191.85322216
16,0.36758642352453325,0.36758480499595236,255849820.16987473,255848693.6314069
17,0.3621948611030703,0.36219323535024733,248826268.4743754,248825151.58937275
18,0.36373364740658337,0.363732027902009,250271426.3650552,250270312.04494014
19,0.3630590287990716,0.36305742446310657,248507303.06398135,248506204.9251878
20,0.36219976222608885,0.36219816061185883,242209669.81763765,242208598.78862473
21,0.36045173941850367,0.36045015030202854,240771386.2893741,240770324.80531162
22,0.3617535880725121,0.3617520060466333,241470610.66293928,241469554.66026887
