,EFF_comp,EFF_comp_afterwashing,M1_cor,M1_cor_afterwashing,EFF_GT,EFF_GT_afterwashing
1,0.9027868771134546,0.9091868771134546,643.6886859841351,643.701485984135,0.36140915230180853,0.36780915230180855
2,0.9042095061820801,0.9106895061820801,643.9971968738319,644.0101568738319,0.3600435144573999,0.3665235144573999
3,0.9037798316180029,0.9103398316180029,645.9887472904971,646.0018672904971,0.36109945648003466,0.3676594564800347
4,0.903439711125811,0.910079711125811,647.6366295111256,647.6499095111257,0.3628735688413746,0.3695135688413746
5,0.90573240908932,0.9124524090893199,649.3282980762467,649.3417380762467,0.36484410472163575,0.37156410472163576
6,0.9062913907748711,0.9130913907748711,646.2149850079023,646.2285850079023,0.365578944906497,0.372378944906497
7,0.9070566581648306,0.9139366581648306,644.7662148874011,644.7799748874012,0.3708443406478123,0.3777243406478123
8,0.9063048570400629,0.9132648570400629,648.3567131589283,648.3706331589283,0.37218636452708626,0.3791463645270863
9,0.9064582276470047,0.9134982276470047,647.5728192858015,647.5868992858016,0.3729600510319289,0.3800000510319289
10,0.9047193898239476,0.9118393898239476,646.2223076901512,646.2365476901512,0.3720621616640423,0.37918216166404234
11,0.9051071298152503,0.9123071298152503,645.7545012938924,645.7689012938924,0.37351689670455984,0.3807168967045598
12,0.8999412286135189,0.9072212286135188,650.198351976953,650.2129119769529,0.3719525906277041,0.3792325906277041
13,0.9011331874338293,0.9084931874338293,650.1884418714918,650.2031618714918,0.3687223945822615,0.3760823945822615
14,0.8996322825047885,0.9070722825047886,647.7229158385088,647.7377958385088,0.3712805324048972,0.3787205324048972
15,0.8999326769131966,0.9074526769131965,644.9209894298989,644.9360294298989,0.3684198277070536,0.37593982770705364
16,0.9017851923933523,0.9093851923933524,643.4948114662056,643.5100114662057,0.36758642352453325,0.37518642352453324
17,0.899159896930488,0.906839896930488,641.8435353713407,641.8588953713407,0.3621948611030703,0.36987486110307033
18,0.9011681822691224,0.9089281822691224,640.5014750253662,640.5169950253662,0.36373364740658337,0.37149364740658336
19,0.8993072581254274,0.9071472581254274,637.9923147493708,638.0079947493708,0.3630590287990716,0.3708990287990716
20,0.9037818697877509,0.9117018697877509,622.1475125725598,622.1633525725598,0.36219976222608885,0.37011976222608883
21,0.9056033065255128,0.9136033065255128,623.036552006536,623.052552006536,0.36045173941850367,0.3684517394185037
22,0.9066869085215221,0.9147669085215221,619.1336033029334,619.1497633029334,0.3617535880725121,0.3698335880725121
